tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,retweet_count,text,encoded_labels
569264328186179584,negative,1.0,Cancelled Flight,0.6715,0,@SouthwestAir  reservation (FEHQNE)  21FEB15 | DCA-RSW. Want refund not credit for Cancelled Flightled flight please.,2
569628431236911104,negative,1.0,Can't Tell,0.6567,0,@AmericanAir rented van drove 250 miles with 6 strangers.  Arrived home 6:00am. No offers of help from AA. http://t.co/BTTGmyN0A0,2
567758699574226944,positive,1.0,,,0,"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat",1
567789435795861504,negative,1.0,Customer Service Issue,1.0,0,@united customer service 👎,2
569584207011434497,negative,1.0,Bad Flight,0.6442,0,@USAirways why have me board a plane knowing there is a maint issue?  US5235.,2
568828574641328128,positive,1.0,,,1,@SouthwestAir that's awesome! Love flying SWA!,1
570000249910996992,neutral,0.6639,,,0,@JetBlue @BucketObolts Same,0
569596325076955137,negative,0.6667,Cancelled Flight,0.6667,0,@AmericanAir I'm on flight 1027 tomorrow that got Cancelled Flightled. Need to find an alternative to get to Dallas. Please help.,2
569943647103406080,negative,0.6920000000000001,Lost Luggage,0.6920000000000001,0,"@SouthwestAir @HDsportsguy yes I did. I hope for an update soon, need those clothes for a meeting tomorrow.",2
569646535215939585,positive,1.0,,,0,"@united thanks, it was my first time in a United lounge and felt welcomed.",1
570301488192458752,negative,0.6703,Customer Service Issue,0.6703,0,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.,2
569925614100189186,neutral,1.0,,,0,@united. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?,0
569985838689456128,negative,1.0,Cancelled Flight,0.6939,0,"@USAirways do you operate ANY flights without maintenance issues? Flights in/out of DCA Cancelled Flighted, this is getting old. Update fleet pls!",2
569666679963312129,negative,1.0,Cancelled Flight,0.6659,0,@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,2
569310070825226241,positive,0.3563,,0.0,0,@JetBlue would you say a delay is more likely? Thanks so much.,1
567754562053091328,neutral,0.6662,,0.0,0,@SouthwestAir I absolutely will. Where can I send it?,0
569719449458094080,negative,1.0,Customer Service Issue,1.0,0,@AmericanAir I'm still on hold if you're wondering...  4 hours 37 minutes and counting.  #ServiceFail #OnHoldForever #Suboptimal,2
568069616003629057,negative,1.0,Late Flight,1.0,0,"@SouthwestAir she cut people off 35 minutes before flight time to check in bags, for a flight that was delayed 2 hours! I waited 8 more hrs!",2
568476518852247552,positive,1.0,,,0,@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday,1
569832968954499072,neutral,0.6655,,0.0,0,@USAirways Is your refund system down?,0
569911231705944064,negative,1.0,Customer Service Issue,0.6596,0,@USAirways @jhughes1025 grrrrrrrr. Couldn't book a flight via calling either :(,2
568039128001937408,positive,1.0,,,0,"@JetBlue why yes, yes it does!!!!  Great trip down!! Thanks for the lift!!!!",1
568500854082420737,negative,1.0,Late Flight,0.6507,0,@USAirways still in yuma waiting for 2702 to go. Looks like I might miss 2696 to MontereyRegionalAirport need options please,2
569126397161054208,negative,1.0,Customer Service Issue,0.6406,0,"@USAirways I don't want a reservation change, just adding a service. Am going public with this to get help.",2
567861140895580160,neutral,0.3654,,0.0,0,@SouthwestAir  I got rebooked for tomorrow,0
569457108355289088,negative,1.0,Can't Tell,0.6701,0,@USAirways worst experience ever!!!!,2
569616019708182529,negative,1.0,Customer Service Issue,1.0,0,"@AmericanAir not only did you rebook me on the wrong day, your phone system says it can't handle the volume and hangs up on me!!!",2
569605359406485504,negative,1.0,longlines,1.0,0,"@AmericanAir been waiting in line for over an hour in San Antonio, barely moved &amp; only two agents. 30 in front of me &amp; at least 40 behind.",2
569939736782962688,negative,1.0,Customer Service Issue,1.0,0,@AmericanAir Also do you have any way to speak to someone on the phone? Your 1-800 # has been hanging up on me all day.,2
569276854458310658,positive,0.6533,,0.0,0,"@united Yes, they did. Must have fixed the broken ramp. Thanks!",1
570306662575300611,neutral,1.0,,,0,@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr,0
568778893085290496,negative,1.0,Lost Luggage,1.0,0,@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?,2
569358195862462464,negative,1.0,Customer Service Issue,1.0,0,@SouthwestAir been holding for 1 hour and 10 minutes. To rebook Cancelled Flightlation.You guys need more help!,2
568973617687625728,positive,1.0,,,0,"@SouthwestAir @FortuneMagazine 
great news.",1
567740403755909120,positive,1.0,,,0,@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me.,1
568917936783491073,negative,0.6633,Can't Tell,0.3367,0,@united already Flight Booking Problems next week's trip on @AmericanAir  thanks for making the choice so easy #disunited #unfriendlyskies #servicefail,2
569563297164480513,negative,1.0,Flight Attendant Complaints,0.6502,0,@USAirways you should get better employees✌️,2
